Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
SOLUSDT,20,SELL,125987052,2026-03-26 13:44:32,Market,CLOSE,5.00,89.64350000,-,-,30600389,-14.13000000,23.11715000,89.64350000,-,-,-,-
SOLUSDT,20,BUY,125898762,2026-03-25 18:04:54,Market,OPEN,5.00,92.46860000,-,-,30600389,-,23.11715000,-,-,-,-,-
SOLUSDT,20,BUY,124521203,2026-03-13 21:17:51,Market,CLOSE,5.00,91.69400000,-,-,30348603,-32.80000000,21.28330000,91.69400000,-,-,-,-
SOLUSDT,50,BUY,124373048,2026-03-12 17:45:07,Stop loss,CLOSE,1.00,86.62970000,-0.05000000,-,30349047,-0.95000000,1.71360000,86.62970000,-,-,-,-
SOLUSDT,50,SELL,124356535,2026-03-12 15:31:59,Limit,OPEN,1.00,85.68000000,-0.03000000,-,30349047,-,1.71360000,-,-,-,-,-
SOLUSDT,20,SELL,124354573,2026-03-12 14:41:06,Market,OPEN,5.00,85.13320000,-,-,30348603,-,21.28330000,-,-,-,-,-
SOLUSDT,20,SELL,122567712,2026-02-26 05:36:26,Market,CLOSE,5.00,91.55560000,-,-,30041412,20.43000000,21.86752500,91.55560000,-,-,-,-
SOLUSDT,20,BUY,122544060,2026-02-26 01:04:57,Market,OPEN,5.00,87.47010000,-,-,30041412,-,21.86752500,-,-,-,-,-
API3USDT,20,SELL,120585590,2026-02-10 18:44:46,Market,CLOSE,1510.00,0.32110000,-,-,29706621,-14.19000000,24.95275000,0.32110000,-,-,-,-
API3USDT,20,BUY,120498643,2026-02-10 00:56:15,Market,OPEN,1510.00,0.33050000,-,-,29706621,-,24.95275000,-,-,-,-,-
XRPUSDT,100,SELL,81997281,2025-05-16 06:53:47,Market,CLOSE,410.00,2.38769000,-,-,23339533,-0.38000000,9.79330100,2.38769000,-,-,-,-
XRPUSDT,100,BUY,81424543,2025-05-12 13:21:55,Market,OPEN,410.00,2.38861000,-,-,23339533,-,9.79330100,-,-,-,-,-
API3USDT,50,SELL,74215221,2025-03-18 19:41:55,Market,CLOSE,100.00,0.92460000,-1.11000000,-1.11000000,21942213,-5.30000000,1.95520000,0.92460000,-,-,-,-
API3USDT,50,BUY,74213339,2025-03-18 19:16:13,Market,OPEN,100.00,0.97760000,-0.04000000,-,21942213,-,1.95520000,-,-,-,-,-
