orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
489272130308,TAKEPROFIT861085464,489272130308, Buy,RTYM6,RTY,E-Mini Russell 2000,,,,489272130308, Canceled,-2,0,0.1,,489272130308,05/19/2026 20:09:30,5/19/26,1,Tradingview, Limit,2707.30,,2707.3,,,,,,,USD
489272130311,TAKEPROFIT861085464,489272130311, Sell,RTYM6,RTY,E-Mini Russell 2000,,,,489272130311, Canceled,-2,0,0.1,,489272130311,05/19/2026 20:09:30,5/19/26,1,Tradingview, Limit,2737.20,,2737.2,,,,,,,USD
489272130314,TAKEPROFIT861085464,489272130314, Sell,RTYM6,RTY,E-Mini Russell 2000,2810.8,1,05/20/2026 11:15:36,489272130347, Filled,-2,0,0.1,,489272130347,05/20/2026 10:22:39,5/20/26,1,Tradingview, Limit,2810.80,,2810.8,,1,2810.80,2810.8,,"140,540.00",USD
489272130317,TAKEPROFIT861085464,489272130317, Buy,RTYM6,RTY,E-Mini Russell 2000,,,,489272130410, Canceled,-2,0,0.1,,489272130410,05/20/2026 11:30:18,5/20/26,1,Tradingview, Limit,2798.90,,2798.9,,,,,,,USD
489272130320,TAKEPROFIT861085464,489272130320, Sell,YMM6,YM,E-Mini Dow ($5),50001.0,1,05/20/2026 11:16:16,489272130359, Filled,0,0,1.0,,489272130359,05/20/2026 10:47:23,5/20/26,1,Tradingview, Limit,50001,,50001.0,,1,50001,50001.0,,"250,005.00",USD
489272130323,TAKEPROFIT861085464,489272130323, Buy,YMM6,YM,E-Mini Dow ($5),,,,489272130414, Canceled,0,0,1.0,,489272130414,05/20/2026 11:30:31,5/20/26,1,Tradingview, Limit,49759,,49759.0,,,,,,,USD
489272130326,TAKEPROFIT861085464,489272130326, Buy,YMM6,YM,E-Mini Dow ($5),,,,489272130331, Canceled,0,0,1.0,,489272130331,05/20/2026 09:35:30,5/20/26,1,Tradingview, Limit,49112,,49112.0,,,,,,,USD
489272130329,TAKEPROFIT861085464,489272130329, Sell,YMM6,YM,E-Mini Dow ($5),,,,489272130333, Canceled,0,0,1.0,,489272130333,05/20/2026 09:35:30,5/20/26,1,Tradingview, Limit,49412,,49412.0,,,,,,,USD
489272130440,TAKEPROFIT861085464,489272130440, Buy,YMM6,YM,E-Mini Dow ($5),50046.0,1,05/20/2026 16:55:01,489272130440, Filled,0,0,1.0,,489272130440,05/20/2026 16:55:01,5/20/26,1,AutoLiq, Market,,,,,1,50046,50046.0,,"250,230.00",USD
489272130442,TAKEPROFIT861085464,489272130442, Buy,RTYM6,RTY,E-Mini Russell 2000,2818.6000000000004,1,05/20/2026 16:55:01,489272130442, Filled,-2,0,0.1,,489272130442,05/20/2026 16:55:01,5/20/26,1,AutoLiq, Market,,,,,1,2818.60,2818.6000000000004,,"140,930.00",USD
