"Contracts","Leverage","Direction","Order No.","Transaction Time(UTC+8)","Order Type","Filled Type","Filled Qty","Filled Price","Fees","Liquidation fee","Position order no.","P/L","Margin","Close price","Swaps","Opening fee","Withholding profit","Net P/L"
"ETHUSDT","100","BUY","133898523","2026-06-04 05:43:38","Market","CLOSE","1.20","1948.01000000","-23.38000000","-23.38000000","31891148","-204.11000000","21.33504000","1948.01000000","-","-0.96000000","0.00000000","-228.45000000"
"ETHUSDT","100","SELL","133893397","2026-06-04 04:57:19","Market","OPEN","1.20","1777.92000000","-0.96000000","-","31891148","-","21.33504000","-","-","-","-","-"
"ETHUSDT","100","BUY","133893344","2026-06-04 04:57:10","Market","CLOSE","1.20","1776.50000000","-0.96000000","-","31886584","51.37000000","21.83172000","1776.50000000","-","-0.98000000","5.93000000","49.43000000"
"ETHUSDT","100","SELL","133874322","2026-06-04 00:28:49","Market","OPEN","1.20","1819.31000000","-0.98000000","-","31886584","-","21.83172000","-","-","-","-","-"
"ETHUSDT","100","BUY","133874143","2026-06-04 00:28:17","Market","CLOSE","1.10","1819.46000000","-0.90000000","-","31874188","44.53000000","20.45934000","1819.46000000","-","-0.92000000","5.13000000","42.71000000"
"ETHUSDT","100","SELL","133780522","2026-06-03 07:50:36","Market","OPEN","1.10","1859.94000000","-1.23000000","-","31874188","-","20.45934000","-","-","-","-","-"
"ETHUSDT","100","BUY","133780158","2026-06-03 07:49:09","Market","CLOSE","0.50","1859.72000000","-0.56000000","-","31871255","17.01000000","9.46870000","1859.72000000","-","-0.57000000","1.91000000","15.88000000"
"ETHUSDT","100","SELL","133768360","2026-06-03 06:05:34","Market","OPEN","0.50","1893.74000000","-0.57000000","-","31871255","-","9.46870000","-","-","-","-","-"
"ETHUSDT","100","BUY","133768257","2026-06-03 06:05:08","Market","CLOSE","0.50","1894.45000000","-0.57000000","-","31866016","15.18000000","9.62405000","1894.45000000","-","-0.58000000","1.68000000","14.03000000"
"ETHUSDT","100","SELL","133742828","2026-06-03 00:52:10","Market","OPEN","0.50","1924.81000000","-0.58000000","-","31866016","-","9.62405000","-","-","-","-","-"
"SOLUSDT","10","BUY","133709014","2026-06-02 22:22:14","Market","CLOSE","6.00","77.83000000","-","-","31831665","25.44000000","49.24200000","77.83000000","-","-","-","-"
"SOLUSDT","10","SELL","133512611","2026-06-01 07:33:06","Market","OPEN","6.00","82.07000000","-","-","31831665","-","49.24200000","-","-","-","-","-"
"SOLUSDT","20","BUY","130623622","2026-05-06 03:26:27","Market","CLOSE","5.00","86.24220000","-","-","31325183","-13.00000000","20.91077500","86.24220000","-","-","-","-"
"SOLUSDT","20","SELL","130224196","2026-05-02 12:06:25","Market","OPEN","5.00","83.64310000","-","-","31325183","-","20.91077500","-","-","-","-","-"
"SOLUSDT","20","BUY","127554497","2026-04-10 01:38:18","Market","CLOSE","6.00","84.40000000","-","-","30849643","-14.87000000","24.57654000","84.40000000","-","-","-","-"
"SOLUSDT","20","SELL","127484669","2026-04-09 11:29:49","Market","OPEN","6.00","81.92180000","-","-","30849643","-","24.57654000","-","-","-","-","-"
