orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
525817490658,TAKEPROFITPRO311919544,525817490658, Sell,MYMM6,MYM,Micro E-mini Dow $0.50,50888.0,2,06/09/2026 14:30:14,525817490747, Filled,0,0,1.0,,525817490747,06/09/2026 11:31:19,6/9/26,2,Tradingview, Limit,50888,,50888.0,,2,50888,50888.0,,"50,888.00",USD
525817490661,TAKEPROFITPRO311919544,525817490661, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490811, Canceled,0,0,1.0,,525817490811,06/09/2026 14:30:14,6/9/26,2,Tradingview, Limit,49788,,49788.0,,,,,,,USD
525817490664,TAKEPROFITPRO311919544,525817490664, Sell,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490831, Canceled,0,0,1.0,,525817490831,06/09/2026 14:59:34,6/9/26,3,Tradingview, Limit,51111,,51111.0,,,,,,,USD
525817490667,TAKEPROFITPRO311919544,525817490667, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490671, Canceled,0,0,1.0,,525817490671,06/08/2026 19:51:31,6/8/26,3,Tradingview, Limit,49788,,49788.0,,,,,,,USD
525817490676,TAKEPROFITPRO311919544,525817490676, Sell,M2KM6,M2K,Micro E-mini Russell 2000,2924.7000000000003,3,06/09/2026 09:51:49,525817490676, Filled,-2,0,0.1,,525817490676,06/08/2026 19:55:54,6/8/26,3,Tradingview, Limit,2924.70,,2924.7,,3,2924.70,2924.7000000000003,,"43,870.50",USD
525817490679,TAKEPROFITPRO311919544,525817490679, Buy,M2KM6,M2K,Micro E-mini Russell 2000,,,,525817490701, Canceled,-2,0,0.1,,525817490701,06/09/2026 09:51:49,6/9/26,3,Tradingview, Limit,2720.70,,2720.7,,,,,,,USD
525817490682,TAKEPROFITPRO311919544,525817490682, Sell,M2KM6,M2K,Micro E-mini Russell 2000,2906.1,2,06/09/2026 09:37:52,525817490682, Filled,-2,0,0.1,,525817490682,06/08/2026 19:57:40,6/8/26,2,Tradingview, Limit,2906.10,,2906.1,,2,2906.10,2906.1,,"29,061.00",USD
525817490685,TAKEPROFITPRO311919544,525817490685, Buy,M2KM6,M2K,Micro E-mini Russell 2000,,,,525817490692, Canceled,-2,0,0.1,,525817490692,06/09/2026 09:37:52,6/9/26,2,Tradingview, Limit,2720.70,,2720.7,,,,,,,USD
525817490720,TAKEPROFITPRO311919544,525817490720, Sell,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490720, Canceled,0,0,1.0,,525817490720,06/09/2026 11:11:14,6/9/26,1,Tradingview, Limit,51178,,51178.0,,,,,,,USD
525817490723,TAKEPROFITPRO311919544,525817490723, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490723, Canceled,0,0,1.0,,525817490723,06/09/2026 11:11:14,6/9/26,1,Tradingview, Limit,49700,,49700.0,,,,,,,USD
525817490760,TAKEPROFITPRO311919544,525817490760, Sell,MYMM6,MYM,Micro E-mini Dow $0.50,50773.0,1,06/09/2026 13:41:06,525817490769, Filled,0,0,1.0,,525817490769,06/09/2026 11:38:54,6/9/26,1,Tradingview, Limit,50773,,50773.0,,1,50773,50773.0,,"25,386.50",USD
525817490763,TAKEPROFITPRO311919544,525817490763, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490789, Canceled,0,0,1.0,,525817490789,06/09/2026 13:41:06,6/9/26,1,Tradingview, Limit,49788,,49788.0,,,,,,,USD
525817490774,TAKEPROFITPRO311919544,525817490774, Sell,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490774, Canceled,0,0,1.0,,525817490774,06/09/2026 12:11:42,6/9/26,1,Tradingview, Limit,50708,,50708.0,,,,,,,USD
525817490777,TAKEPROFITPRO311919544,525817490777, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,,,,525817490777, Canceled,0,0,1.0,,525817490777,06/09/2026 12:11:42,6/9/26,1,Tradingview, Limit,49788,,49788.0,,,,,,,USD
525817490857,TAKEPROFITPRO311919544,525817490857, Buy,MYMM6,MYM,Micro E-mini Dow $0.50,50857.0,3,06/09/2026 16:55:02,525817490857, Filled,0,0,1.0,,525817490857,06/09/2026 16:55:02,6/9/26,3,AutoLiq, Market,,,,,3,50857,50857.0,,"76,285.50",USD
525817490859,TAKEPROFITPRO311919544,525817490859, Buy,M2KM6,M2K,Micro E-mini Russell 2000,2866.2000000000003,5,06/09/2026 16:55:02,525817490859, Filled,-2,0,0.1,,525817490859,06/09/2026 16:55:02,6/9/26,5,AutoLiq, Market,,,,,5,2866.20,2866.2000000000003,,"71,655.00",USD
