orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
642665610005,TAKEPROFITPRO781112132,642665610005, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665610170, Canceled,-1,0,0.1,,642665610170,08/31/2026 15:58:03,8/31/26,2,Tradingview, Limit,4538.0,,4538.0,,,,,,,USD
642665610008,TAKEPROFITPRO781112132,642665610008, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665610084, Canceled,-1,0,0.1,,642665610084,08/31/2026 15:27:56,8/31/26,2,Tradingview, Limit,4477.4,,4477.4,,,,,,,USD
642665610011,TAKEPROFITPRO781112132,642665610011, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,642665610114, Canceled,-2,0,0.1,,642665610114,08/31/2026 15:47:23,8/31/26,6,Tradingview, Limit,2985.50,,2985.5,,,,,,,USD
642665610014,TAKEPROFITPRO781112132,642665610014, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,642665610024, Canceled,-2,0,0.1,,642665610024,08/31/2026 09:29:53,8/31/26,6,Tradingview, Limit,2969.00,,2969.0,,,,,,,USD
642665610029,TAKEPROFITPRO781112132,642665610029, Sell,MYMU6,MYM,Micro E-mini Dow $0.50,,,,642665610029, Canceled,0,0,1.0,,642665610029,08/31/2026 09:36:13,8/31/26,4,Tradingview, Limit,53658,,53658.0,,,,,,,USD
642665610032,TAKEPROFITPRO781112132,642665610032, Buy,MYMU6,MYM,Micro E-mini Dow $0.50,,,,642665610032, Canceled,0,0,1.0,,642665610032,08/31/2026 09:36:13,8/31/26,4,Tradingview, Limit,53389,,53389.0,,,,,,,USD
642665610035,TAKEPROFITPRO781112132,642665610035, Buy,MESU6,MES,Micro E-mini S&P 500,7689.5,2,08/31/2026 15:14:07,642665610035, Filled,-2,0,0.25,,642665610035,08/31/2026 15:14:07,8/31/26,2,Tradingview, Market,,,,,2,7689.50,7689.5,,"76,895.00",USD
642665610042,TAKEPROFITPRO781112132,642665610042, Sell,MESU6,MES,Micro E-mini S&P 500,7690.75,2,08/31/2026 15:23:00,642665610054, Filled,-2,0,0.25,,642665610054,08/31/2026 15:15:12,8/31/26,2,Tradingview, Limit,7690.75,,7690.75,,2,7690.75,7690.75,,"76,907.50",USD
642665610064,TAKEPROFITPRO781112132,642665610064, Sell,MESU6,MES,Micro E-mini S&P 500,,,,642665610069, Canceled,-2,0,0.25,,642665610069,08/31/2026 15:25:46,8/31/26,5,Tradingview, Limit,7705.50,,7705.5,,,,,,,USD
642665610067,TAKEPROFITPRO781112132,642665610067, Buy,MESU6,MES,Micro E-mini S&P 500,,,,642665610071, Canceled,-2,0,0.25,,642665610071,08/31/2026 15:25:46,8/31/26,5,Tradingview, Limit,7669.00,,7669.0,,,,,,,USD
642665610097,TAKEPROFITPRO781112132,642665610097, Sell,MESU6,MES,Micro E-mini S&P 500,,,,642665610166, Canceled,-2,0,0.25,,642665610166,08/31/2026 15:56:08,8/31/26,5,Tradingview, Limit,7718.25,,7718.25,,,,,,,USD
642665610100,TAKEPROFITPRO781112132,642665610100, Buy,MESU6,MES,Micro E-mini S&P 500,,,,642665610160, Canceled,-2,0,0.25,,642665610160,08/31/2026 15:53:30,8/31/26,5,Tradingview, Limit,7696.00,,7696.0,,,,,,,USD
