"Ticket","Symbol","Side","Stop Loss","Take Profit","Open Time","Open Price","Closed Time","Closed Price","Duration","P&L","Lots","Commissions"
"MCLV6/630142251224","MCLV6","SELL","0","0","28-08-2026, 02:30:22","83.42","28-08-2026, 06:45:23","82.78","4h 15m","$64.00","1","1.74"
"MCLV6/630142251223","MCLV6","SELL","0","0","28-08-2026, 02:30:18","83.42","28-08-2026, 06:45:23","82.78","4h 15m","$64.00","1","1.74"
"MCLV6/630142251142","MCLV6","SELL","0","0","27-08-2026, 18:00:57","84.04","27-08-2026, 20:10:02","83.68","2h 9m","$72.00","2","2.32"
"MESU6/630142251058","MESU6","SELL","0","0","27-08-2026, 16:54:09","7751.75","27-08-2026, 18:27:15","7728","1h 33m","$356.25","3","5.70"
"MNQU6/630142250943","MNQU6","SELL","0","0","27-08-2026, 08:28:14","29645","27-08-2026, 11:46:29","29539","3h 18m","$424.00","2","3.80"
"MYMU6/630142250744","MYMU6","SELL","0","0","26-08-2026, 20:08:04","53673","26-08-2026, 20:10:02","53663","1m 58s","$25.00","5","9.50"
"M2KU6/630142250753","M2KU6","SELL","0","0","26-08-2026, 14:02:22","3019.5","26-08-2026, 20:10:02","3012.4","6h 7m","$284.00","8","15.20"
"M2KU6/630142250612","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:48","3012.2","44m 19s","$78.00","2","9.50"
"M2KU6/630142250596","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:47","3012.2","44m 18s","$39.00","1","8.55"
"M2KU6/630142250604","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:48","3012.2","44m 19s","$195.00","5","12.35"
"MYMU6/630142250575","MYMU6","BUY","0","0","26-08-2026, 03:52:21","53687","26-08-2026, 12:28:02","53739","8h 35m","$130.00","5","9.50"
"MYMU6/630142250372","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:14:01","53673","5h 13m","$96.00","1","2.85"
"MYMU6/630142250408","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:34:08","53719","5h 33m","$119.00","1","3.80"
"MYMU6/630142250400","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:34:08","53719","5h 33m","$119.00","1","3.80"
"MYMU6/630142250371","MYMU6","BUY","0","0","25-08-2026, 04:00:24","53481","25-08-2026, 09:14:01","53673","5h 13m","$288.00","3","2.85"
"M2KU6/630142250236","M2KU6","BUY","0","0","24-08-2026, 17:34:57","2998.6","24-08-2026, 18:21:56","3003","46m 59s","$22.00","1","6.65"
"M2KU6/630142250235","M2KU6","BUY","0","0","24-08-2026, 17:34:57","2998.6","24-08-2026, 18:21:56","3003","46m 59s","$22.00","1","6.65"
"M2KU6/630142250234","M2KU6","BUY","0","0","24-08-2026, 17:34:55","2998.6","24-08-2026, 18:21:56","3003","47m 1s","$22.00","1","6.65"
"M2KU6/630142250233","M2KU6","BUY","0","0","24-08-2026, 17:34:51","2998.6","24-08-2026, 18:21:56","3003","47m 5s","$66.00","3","9.50"
"M2KU6/630142250225","M2KU6","BUY","0","0","24-08-2026, 17:34:51","2998.6","24-08-2026, 18:21:55","3003","47m 4s","$22.00","1","4.75"
"MYMU6/630142250135","MYMU6","BUY","0","0","24-08-2026, 11:07:53","53229","24-08-2026, 13:32:35","53454","2h 24m","$112.50","1","5.70"
"MYMU6/630142250127","MYMU6","BUY","0","0","24-08-2026, 11:07:53","53229","24-08-2026, 13:32:35","53454","2h 24m","$450.00","4","8.55"
"M2KU6/630142250052","M2KU6","SELL","0","0","24-08-2026, 03:26:27","3024.5","24-08-2026, 04:24:48","3021.3","58m 20s","$16.00","1","2.85"
"M2KU6/630142250060","M2KU6","SELL","0","0","24-08-2026, 03:26:27","3024.5","24-08-2026, 04:27:21","3021.3","1h 0m","$16.00","1","2.85"
"M2KU6/630142250032","M2KU6","SELL","0","0","24-08-2026, 03:23:31","3025","24-08-2026, 03:26:02","3024.5","2m 30s","$5.00","2","3.80"
