Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Bias,Close Date,Close Time,Commission,Confluence,Did Emotions Affect Decisions?,Duration,Emotions,Entry Logic Explanation,Entry Model,Entry Price,Executions,Exit Price,Gross P&L,How Did The Trade Play Out?,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Notes For Coaches,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Profit Target   Did You Respect It?,Realized RR,Return Per Pip,Reviewed,Setups,Side,Status,Stop Loss   Did You Respect It?,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Was Emotionally Stable?,What I Did Well,Zella Score
Robinhood • [Portfolio],19.99948809,0.0,19.49,0.0,,,,,"",2021-01-20,10:21:51 EST,0.0,"","",0.122882,"","","",19.51,3,,0.0,"",0.0,0.0,NKLA,stock,"",0.0,0.0,"",2021-01-20,10:21:51 EST,,,,,,,,"",,,false,"",long,OPEN,"","",NKLA,,,0.0,0.0,,1.026141,"","",
Robinhood • [Portfolio],6.998997465,0.0,2.799,0.0,,,,,"",2021-01-20,11:15:25 EST,0.0,"","",0.0,"","","",2.7994,1,,0.0,"",0.0,0.0,NBEVQ,stock,"",0.0,0.0,"",2021-01-20,11:15:25 EST,,,,,,,,"",,,false,"",long,OPEN,"","",NBEVQ,,,0.0,0.0,,2.500535,"","",
Robinhood • [Portfolio],7.756,0.0,1.939,0.0,,,,,"",2021-01-22,14:18:08 EST,0.0,"","",0.0,"","","",1.939,2,,0.0,"",0.0,0.0,NEPT,stock,"",0.0,0.0,"",2021-01-22,14:18:08 EST,,,,,,,,"",,,false,"",long,OPEN,"","",NEPT,,,0.0,0.0,,4.0,"","",
Robinhood • [Portfolio],12.56,0.0,12.56,0.0,,,,,"",2021-01-22,14:19:04 EST,0.0,"","",0.0,"","","",12.56,1,,0.0,"",0.0,0.0,VFF,stock,"",0.0,0.0,"",2021-01-22,14:19:04 EST,,,,,,,,"",,,false,"",long,OPEN,"","",VFF,,,0.0,0.0,,1.0,"","",
Robinhood • [Portfolio],5.7845,0.0,23.138,0.0,,,,,"",2021-01-25,11:16:08 EST,0.0,"","",341333.477342,"","","",23.545,2,,0.0,"",0.0,0.0,CNBS,stock,"",0.0,0.0,"",2021-01-21,12:27:15 EST,,,,,,,,"",,,false,"",long,OPEN,"","",CNBS,,,0.0,0.0,,0.25,"","",
Robinhood • [Portfolio],19.08,0.0,9.54,0.0,,,,,"",2021-01-27,11:22:39 EST,0.0,"","",119.564,"","","",9.54,2,,0.0,"",0.0,0.0,GAIA,stock,"",0.0,0.0,"",2021-01-27,11:20:40 EST,,,,,,,,"",,,false,"",long,OPEN,"","",GAIA,,,0.0,0.0,,2.0,"","",
Robinhood • [Portfolio],4.509,0.0,1.503,0.0,,,,,"",2021-01-27,11:53:43 EST,0.0,"","",608238.196,"","","",1.51,3,,0.0,"",0.0,0.0,IGC,stock,"",0.0,0.0,"",2021-01-20,10:56:25 EST,,,,,,,,"",,,false,"",long,OPEN,"","",IGC,,,0.0,0.0,,3.0,"","",
Robinhood • [Portfolio],14.969,0.0,149.69,0.0,,,,,"",2021-01-28,11:37:33 EST,0.0,"","",0.0,"","","",149.69,1,,0.0,"",0.0,0.0,GWPH,stock,"",0.0,0.0,"",2021-01-28,11:37:33 EST,,,,,,,,"",,,false,"",long,OPEN,"","",GWPH,,,0.0,0.0,,0.1,"","",
Robinhood • [Portfolio],3.54,0.0,3.54,0.0,,,,,"",2021-01-28,12:04:50 EST,0.0,"","",0.0,"","","",3.5399,1,,0.0,"",0.0,0.0,YCBD,stock,"",0.0,0.0,"",2021-01-28,12:04:50 EST,,,,,,,,"",,,false,"",long,OPEN,"","",YCBD,,,0.0,0.0,,1.0,"","",
Robinhood • [Portfolio],12.92,0.0,12.92,0.0,,,,,"",2021-01-28,12:46:55 EST,0.0,"","",0.0,"","","",12.92,1,,0.0,"",0.0,0.0,APHA,stock,"",0.0,0.0,"",2021-01-28,12:46:55 EST,,,,,,,,"",,,false,"",long,OPEN,"","",APHA,,,0.0,0.0,,1.0,"","",
Robinhood • [Portfolio],5.1265,0.0,51.265,0.0,,,,,"",2021-01-29,11:44:32 EST,0.0,"","",0.0,"","","",51.265,1,,0.0,"",0.0,0.0,BLNK,stock,"",0.0,0.0,"",2021-01-29,11:44:32 EST,,,,,,,,"",,,false,"",long,OPEN,"","",BLNK,,,0.0,0.0,,0.1,"","",
Robinhood • [Portfolio],18.4275,0.0,184.275,0.0,,,,,"",2021-01-29,12:13:24 EST,0.0,"","",0.0,"","","",184.275,1,,0.0,"",0.0,0.0,ENPH,stock,"",0.0,0.0,"",2021-01-29,12:13:24 EST,,,,,,,,"",,,false,"",long,OPEN,"","",ENPH,,,0.0,0.0,,0.1,"","",
