orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
647626320041,APEX4848390000011,647626320041, Sell,MGCZ6,MGC,E-Micro Gold,,,,647626320054, Canceled,-1,0,0.1,,647626320054,09/04/2026 02:47:05,9/4/26,2,, Limit,4521.6,,4521.6,,,,,,,USD
647626320044,APEX4848390000011,647626320044, Buy,MGCZ6,MGC,E-Micro Gold,,,,647626320060, Canceled,-1,0,0.1,,647626320060,09/04/2026 02:47:05,9/4/26,2,, Limit,4505.4,,4505.4,,,,,,,USD
647626320071,APEX4848390000011,647626320071, Sell,MESU6,MES,Micro E-mini S&P 500,7755.25,4,09/04/2026 03:05:34,647626320071, Filled,-2,0,0.25,,647626320071,09/04/2026 03:05:34,9/4/26,4,, Market,,,,,4,7755.25,7755.25,,"155,105.00",USD
647626320078,APEX4848390000011,647626320078, Buy,MESU6,MES,Micro E-mini S&P 500,7751.5,4,09/04/2026 08:07:01,647626320078, Filled,-2,0,0.25,,647626320078,09/04/2026 03:06:29,9/4/26,4,, Limit,7751.50,,7751.5,,4,7751.50,7751.5,,"155,030.00",USD
647626320087,APEX4848390000011,647626320087, Buy,MGCZ6,MGC,E-Micro Gold,,,,647626320116, Canceled,-1,0,0.1,,647626320116,09/04/2026 15:03:39,9/4/26,1,, Limit,4430.0,,4430.0,,,,,,,USD
647626320090,APEX4848390000011,647626320090, Sell,MGCZ6,MGC,E-Micro Gold,,,,647626320120, Canceled,-1,0,0.1,,647626320120,09/04/2026 15:03:54,9/4/26,1,, Limit,4484.0,,4484.0,,,,,,,USD
647626320093,APEX4848390000011,647626320093, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647626320134, Canceled,-2,0,0.1,,647626320134,09/04/2026 15:57:35,9/4/26,6,, Limit,2983.70,,2983.7,,,,,,,USD
647626320096,APEX4848390000011,647626320096, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647626320157, Canceled,-2,0,0.1,,647626320157,09/04/2026 15:59:43,9/4/26,6,, Limit,2974.60,,2974.6,,,,,,,USD
647626320099,APEX4848390000011,647626320099, Sell,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647626320126, Canceled,0,0,1.0,,647626320126,09/04/2026 15:13:41,9/4/26,3,, Limit,53572,,53572.0,,,,,,,USD
647626320102,APEX4848390000011,647626320102, Buy,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647626320104, Canceled,0,0,1.0,,647626320104,09/04/2026 14:59:58,9/4/26,3,, Limit,53366,,53366.0,,,,,,,USD
