orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
642665610438,TAKEPROFITPRO781112132,642665610438, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665610453, Canceled,-1,0,0.1,,642665610453,09/04/2026 02:45:16,9/4/26,4,, Limit,4521.6,,4521.6,,,,,,,USD
642665610441,TAKEPROFITPRO781112132,642665610441, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665610459, Canceled,-1,0,0.1,,642665610459,09/04/2026 02:45:16,9/4/26,4,, Limit,4505.4,,4505.4,,,,,,,USD
642665610471,TAKEPROFITPRO781112132,642665610471, Sell,MNQU6,MNQ,Micro E-mini NASDAQ-100,29586.5,2,09/04/2026 03:04:08,642665610471, Filled,-2,0,0.25,,642665610471,09/04/2026 03:04:08,9/4/26,2,, Market,,,,,2,29586.50,29586.5,,"118,346.00",USD
642665610478,TAKEPROFITPRO781112132,642665610478, Buy,MNQU6,MNQ,Micro E-mini NASDAQ-100,,,,642665610478, Canceled,-2,0,0.25,,642665610478,09/04/2026 03:06:40,9/4/26,2,, Limit,29561.25,,29561.25,,,,,,,USD
642665610484,TAKEPROFITPRO781112132,642665610484, Buy,MNQU6,MNQ,Micro E-mini NASDAQ-100,29671.0,2,09/04/2026 08:27:57,642665610484, Filled,-2,0,0.25,,642665610484,09/04/2026 08:27:57,9/4/26,2,Exit, Market,,,,,2,29671.00,29671.0,,"118,684.00",USD
642665610492,TAKEPROFITPRO781112132,642665610492, Sell,MNQU6,MNQ,Micro E-mini NASDAQ-100,,,,642665610513, Canceled,-2,0,0.25,,642665610513,09/04/2026 09:34:24,9/4/26,2,, Limit,29758.75,,29758.75,,,,,,,USD
642665610500,TAKEPROFITPRO781112132,642665610500, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665610551, Canceled,-1,0,0.1,,642665610551,09/04/2026 15:03:06,9/4/26,2,, Limit,4430.0,,4430.0,,,,,,,USD
642665610503,TAKEPROFITPRO781112132,642665610503, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665610549, Canceled,-1,0,0.1,,642665610549,09/04/2026 15:02:59,9/4/26,2,, Limit,4483.9,,4483.9,,,,,,,USD
642665610518,TAKEPROFITPRO781112132,642665610518, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,642665610583, Canceled,-2,0,0.1,,642665610583,09/04/2026 15:57:41,9/4/26,12,, Limit,2983.70,,2983.7,,,,,,,USD
642665610521,TAKEPROFITPRO781112132,642665610521, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,642665610547, Canceled,-2,0,0.1,,642665610547,09/04/2026 15:02:27,9/4/26,12,, Limit,2972.40,,2972.4,,,,,,,USD
642665610526,TAKEPROFITPRO781112132,642665610526, Sell,MYMU6,MYM,Micro E-mini Dow $0.50,,,,642665610565, Canceled,0,0,1.0,,642665610565,09/04/2026 15:13:31,9/4/26,8,, Limit,53572,,53572.0,,,,,,,USD
642665610529,TAKEPROFITPRO781112132,642665610529, Buy,MYMU6,MYM,Micro E-mini Dow $0.50,,,,642665610531, Canceled,0,0,1.0,,642665610531,09/04/2026 15:00:21,9/4/26,8,, Limit,53366,,53366.0,,,,,,,USD
642665610555,TAKEPROFITPRO781112132,642665610555, Sell,M2KU6,M2K,Micro E-mini Russell 2000,2971.6000000000004,8,09/04/2026 15:08:04,642665610555, Filled,-2,0,0.1,,642665610555,09/04/2026 15:08:04,9/4/26,8,, Market,,,,,8,2971.60,2971.6000000000004,,"118,864.00",USD
642665610562,TAKEPROFITPRO781112132,642665610562, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,642665610587, Canceled,-2,0,0.1,,642665610587,09/04/2026 15:59:28,9/4/26,8,, Limit,2970.40,,2970.4,,,,,,,USD
642665610569,TAKEPROFITPRO781112132,642665610569, Buy,MGCZ6,MGC,E-Micro Gold,4482.400000000001,2,09/04/2026 15:30:55,642665610569, Filled,-1,0,0.1,,642665610569,09/04/2026 15:30:55,9/4/26,2,, Market,,,,,2,4482.4,4482.400000000001,,"89,648.00",USD
642665610576,TAKEPROFITPRO781112132,642665610576, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665610579, Canceled,-1,0,0.1,,642665610579,09/04/2026 15:33:25,9/4/26,2,, Limit,4488.3,,4488.3,,,,,,,USD
642665610623,TAKEPROFITPRO781112132,642665610623, Sell,MGCZ6,MGC,E-Micro Gold,4477.6,2,09/04/2026 16:45:04,642665610623, Filled,-1,0,0.1,,642665610623,09/04/2026 16:45:03,9/4/26,2,, Market,,,,,2,4477.6,4477.6,,"89,552.00",USD
642665610631,TAKEPROFITPRO781112132,642665610631, Buy,M2KU6,M2K,Micro E-mini Russell 2000,2974.9,8,09/04/2026 16:45:04,642665610631, Filled,-2,0,0.1,,642665610631,09/04/2026 16:45:04,9/4/26,8,, Market,,,,,8,2974.90,2974.9,,"118,996.00",USD
642665610642,TAKEPROFITPRO781112132,642665610642, Buy,M2KU6,M2K,Micro E-mini Russell 2000,2974.1000000000004,4,09/04/2026 16:47:54,642665610642, Filled,-2,0,0.1,,642665610642,09/04/2026 16:47:54,9/4/26,4,Tradingview, Market,,,,,4,2974.10,2974.1000000000004,,"59,482.00",USD
642665610648,TAKEPROFITPRO781112132,642665610648, Sell,M2KU6,M2K,Micro E-mini Russell 2000,2973.9,4,09/04/2026 16:47:55,642665610648, Filled,-2,0,0.1,,642665610648,09/04/2026 16:47:55,9/4/26,4,Exit, Market,,,,,4,2973.90,2973.9,,"59,478.00",USD
642665610656,TAKEPROFITPRO781112132,642665610656, Sell,MGCZ6,MGC,E-Micro Gold,4475.900000000001,1,09/04/2026 16:51:01,642665610656, Filled,-1,0,0.1,,642665610656,09/04/2026 16:51:01,9/4/26,1,Tradingview, Market,,,,,1,4475.9,4475.900000000001,,"44,759.00",USD
642665610664,TAKEPROFITPRO781112132,642665610664, Buy,MGCZ6,MGC,E-Micro Gold,4478.1,1,09/04/2026 16:55:01,642665610664, Filled,-1,0,0.1,,642665610664,09/04/2026 16:55:01,9/4/26,1,AutoLiq, Market,,,,,1,4478.1,4478.1,,"44,781.00",USD
