orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
647735930410,LFE02590489830001,647735930410, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647735930410, Canceled,-2,0,0.1,,647735930410,09/08/2026 02:33:55,9/8/26,5,Tradingview, Limit,2946.20,,2946.2,,,,,,,USD
647735930413,LFE02590489830001,647735930413, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647735930413, Canceled,-2,0,0.1,,647735930413,09/08/2026 02:33:55,9/8/26,5,Tradingview, Limit,2955.60,,2955.6,,,,,,,USD
647735930416,LFE02590489830001,647735930416, Sell,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647735930416, Canceled,0,0,1.0,,647735930416,09/08/2026 13:37:48,9/8/26,4,Tradingview, Limit,53023,,53023.0,,,,,,,USD
647735930419,LFE02590489830001,647735930419, Buy,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647735930419, Canceled,0,0,1.0,,647735930419,09/08/2026 13:37:48,9/8/26,4,Tradingview, Limit,52914,,52914.0,,,,,,,USD
647735930428,LFE02590489830001,647735930428, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647735930439, Canceled,-2,0,0.1,,647735930439,09/08/2026 13:47:17,9/8/26,6,Tradingview, Limit,2984.00,,2984.0,,,,,,,USD
647735930431,LFE02590489830001,647735930431, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647735930435, Canceled,-2,0,0.1,,647735930435,09/08/2026 13:42:28,9/8/26,6,Tradingview, Limit,2976.80,,2976.8,,,,,,,USD
647735930444,LFE02590489830001,647735930444, Buy,MGCZ6,MGC,E-Micro Gold,4404.7,1,09/08/2026 14:51:59,647735930444, Filled,-1,0,0.1,,647735930444,09/08/2026 13:48:08,9/8/26,1,Tradingview, Limit,4404.7,,4404.7,,1,4404.7,4404.7,,"44,047.00",USD
647735930447,LFE02590489830001,647735930447, Sell,MGCZ6,MGC,E-Micro Gold,4415.2,1,09/08/2026 14:53:54,647735930459, Filled,-1,0,0.1,,647735930459,09/08/2026 14:52:28,9/8/26,1,Tradingview, Limit,4415.2,,4415.2,,1,4415.2,4415.2,,"44,152.00",USD
647735930487,LFE02590489830001,647735930487, Sell,MGCZ6,MGC,E-Micro Gold,4438.8,1,09/09/2026 01:44:33,647735930496, Filled,-1,0,0.1,,647735930496,09/09/2026 00:32:18,9/9/26,1,Tradingview, Limit,4438.8,,4438.8,,1,4438.8,4438.8,,"44,388.00",USD
647735930490,LFE02590489830001,647735930490, Buy,MGCZ6,MGC,E-Micro Gold,4426.2,1,09/09/2026 11:06:10,647735930524, Filled,-1,0,0.1,,647735930524,09/09/2026 06:01:30,9/9/26,1,Tradingview, Limit,4426.2,,4426.2,,1,4426.2,4426.2,,"44,262.00",USD
