orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
647628800289,APEX4848390000012,647628800289, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800289, Canceled,-2,0,0.1,,647628800289,09/08/2026 02:35:04,9/8/26,5,multibracket, Limit,2946.20,,2946.2,,,,,,,USD
647628800292,APEX4848390000012,647628800292, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800292, Canceled,-2,0,0.1,,647628800292,09/08/2026 02:35:04,9/8/26,5,multibracket, Limit,2955.60,,2955.6,,,,,,,USD
647628800302,APEX4848390000012,647628800302, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800339, Canceled,-2,0,0.1,,647628800339,09/08/2026 13:47:37,9/8/26,6,, Limit,2984.00,,2984.0,,,,,,,USD
647628800305,APEX4848390000012,647628800305, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800319, Canceled,-2,0,0.1,,647628800319,09/08/2026 13:42:15,9/8/26,6,, Limit,2976.80,,2976.8,,,,,,,USD
647628800308,APEX4848390000012,647628800308, Sell,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647628800327, Canceled,0,0,1.0,,647628800327,09/08/2026 13:43:36,9/8/26,4,, Limit,53023,,53023.0,,,,,,,USD
647628800311,APEX4848390000012,647628800311, Buy,MYMU6,MYM,Micro E-mini Dow $0.50,,,,647628800331, Canceled,0,0,1.0,,647628800331,09/08/2026 13:43:59,9/8/26,4,, Limit,52914,,52914.0,,,,,,,USD
647628800334,APEX4848390000012,647628800334, Buy,MGCZ6,MGC,E-Micro Gold,4404.6,1,09/08/2026 14:51:59,647628800334, Filled,-1,0,0.1,,647628800334,09/08/2026 13:46:06,9/8/26,1,multibracket, Limit,4404.9,,4404.9,,1,4404.6,4404.6,,"44,046.00",USD
647628800337,APEX4848390000012,647628800337, Sell,MGCZ6,MGC,E-Micro Gold,,,,647628800346, Canceled,-1,0,0.1,,647628800346,09/08/2026 14:51:59,9/8/26,1,multibracket, Limit,4424.9,,4424.9,,,,,,,USD
647628800355,APEX4848390000012,647628800355, Sell,MGCZ6,MGC,E-Micro Gold,4405.5,1,09/08/2026 14:52:00,647628800355, Filled,-1,0,0.1,,647628800355,09/08/2026 14:52:00,9/8/26,1,Exit, Market,,,,,1,4405.5,4405.5,,"44,055.00",USD
647628800382,APEX4848390000012,647628800382, Sell,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800382, Canceled,-2,0,0.1,,647628800382,09/08/2026 16:39:35,9/8/26,2,Tradingview, Limit,2964.50,,2964.5,,,,,,,USD
647628800385,APEX4848390000012,647628800385, Buy,M2KU6,M2K,Micro E-mini Russell 2000,,,,647628800385, Canceled,-2,0,0.1,,647628800385,09/08/2026 16:39:35,9/8/26,2,Tradingview, Limit,2961.60,,2961.6,,,,,,,USD
647628800387,APEX4848390000012,647628800387, Sell,MNQU6,MNQ,Micro E-mini NASDAQ-100,29519.75,1,09/08/2026 16:48:41,647628800387, Filled,-2,0,0.25,,647628800387,09/08/2026 16:48:41,9/8/26,1,Tradingview, Market,,,,,1,29519.75,29519.75,,"59,039.50",USD
647628800394,APEX4848390000012,647628800394, Buy,MNQU6,MNQ,Micro E-mini NASDAQ-100,,,,647628800397, Canceled,-2,0,0.25,,647628800397,09/08/2026 16:49:33,9/8/26,1,Tradingview, Limit,29508.25,,29508.25,,,,,,,USD
647628800413,APEX4848390000012,647628800413, Buy,MNQU6,MNQ,Micro E-mini NASDAQ-100,29524.75,1,09/08/2026 16:59:00,647628800413, Filled,-2,0,0.25,,647628800413,09/08/2026 16:59:00,9/8/26,1,AutoLiq, Market,,,,,1,29524.75,29524.75,,"59,049.50",USD
