orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
642665611165,TAKEPROFITPRO781112132,642665611165, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611170, Canceled,-1,0,0.1,,642665611170,09/14/2026 07:21:18,9/14/26,2,, Limit,4287.6,,4287.6,,,,,,,USD
642665611168,TAKEPROFITPRO781112132,642665611168, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611174, Canceled,-1,0,0.1,,642665611174,09/14/2026 07:21:35,9/14/26,2,, Limit,4337.6,,4337.6,,,,,,,USD
642665611185,TAKEPROFITPRO781112132,642665611185, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611204, Canceled,-1,0,0.1,,642665611204,09/14/2026 11:39:11,9/14/26,2,, Limit,4350.5,,4350.5,,,,,,,USD
642665611188,TAKEPROFITPRO781112132,642665611188, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611194, Canceled,-1,0,0.1,,642665611194,09/14/2026 10:51:06,9/14/26,2,, Limit,4313.9,,4313.9,,,,,,,USD
642665611216,TAKEPROFITPRO781112132,642665611216, Buy,MGCZ6,MGC,E-Micro Gold,4338.6,2,09/14/2026 11:44:12,642665611216, Filled,-1,0,0.1,,642665611216,09/14/2026 11:44:12,9/14/26,2,, Market,,,,,2,4338.6,4338.6,,"86,772.00",USD
642665611224,TAKEPROFITPRO781112132,642665611224, Sell,MGCZ6,MGC,E-Micro Gold,4355.3,2,09/14/2026 12:48:36,642665611227, Filled,-1,0,0.1,,642665611227,09/14/2026 12:11:49,9/14/26,2,, Limit,4355.3,,4355.3,,2,4355.3,4355.3,,"87,106.00",USD
642665611231,TAKEPROFITPRO781112132,642665611231, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611234, Canceled,-1,0,0.1,,642665611234,09/14/2026 12:30:18,9/14/26,2,, Stop,,4326.9,,4326.9,,,,,,USD
642665611247,TAKEPROFITPRO781112132,642665611247, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611262, Canceled,-1,0,0.1,,642665611262,09/14/2026 15:27:22,9/14/26,2,, Limit,4351.8,,4351.8,,,,,,,USD
642665611250,TAKEPROFITPRO781112132,642665611250, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611260, Canceled,-1,0,0.1,,642665611260,09/14/2026 15:26:46,9/14/26,2,, Limit,4331.8,,4331.8,,,,,,,USD
642665611275,TAKEPROFITPRO781112132,642665611275, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611296, Canceled,-1,0,0.1,,642665611296,09/14/2026 16:48:35,9/14/26,1,, Limit,4352.0,,4352.0,,,,,,,USD
642665611278,TAKEPROFITPRO781112132,642665611278, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611278, Canceled,-1,0,0.1,,642665611278,09/14/2026 16:19:06,9/14/26,2,multibracket, Limit,4323.8,,4323.8,,,,,,,USD
642665611305,TAKEPROFITPRO781112132,642665611305, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611305, Canceled,-1,0,0.1,,642665611305,09/14/2026 16:48:54,9/14/26,1,Tradingview, Limit,4355.6,,4355.6,,,,,,,USD
642665611308,TAKEPROFITPRO781112132,642665611308, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611308, Canceled,-1,0,0.1,,642665611308,09/14/2026 16:48:54,9/14/26,1,Tradingview, Limit,4323.9,,4323.9,,,,,,,USD
642665611322,TAKEPROFITPRO781112132,642665611322, Sell,MGCZ6,MGC,E-Micro Gold,,,,642665611322, Working,-1,0,0.1,,642665611322,09/14/2026 21:19:39,9/14/26,2,multibracket, Limit,4369.8,,4369.8,,,,,,,USD
642665611325,TAKEPROFITPRO781112132,642665611325, Buy,MGCZ6,MGC,E-Micro Gold,,,,642665611325, Suspended,-1,0,0.1,,642665611325,09/14/2026 21:19:39,9/14/26,2,multibracket, Limit,4356.9,,4356.9,,,,,,,USD
