Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Bias,Close Date,Close Time,Commission,Confluence,Did Emotions Affect Decisions?,Duration,Emotions,Entry Logic Explanation,Entry Model,Entry Price,Executions,Exit Price,Gross P&L,How Did The Trade Play Out?,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Notes For Coaches,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Profit Target   Did You Respect It?,Realized RR,Return Per Pip,Reviewed,Setups,Side,Status,Stop Loss   Did You Respect It?,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Was Emotionally Stable?,What I Did Well,Zella Score
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,1015200.0,1015150.0,25380.0,25378.75,,,,,"",2026-02-09,12:31:42 EST,0.0,"","",0.0,"","","",25380.0,2,25378.75,-50.0,"",0.0,0.0,NQ,future,not knowing how to use tradovate w/ trading view,-50.0,-0.00004925,"",2026-02-09,12:31:42 EST,,,-1.25,-50.0,50.0,25378.75,25381.25,"",,,true,"",long,Loss,"","",NQ,-10.0,-5.0,0.0,0.0,,2.0,"","",-100.0
Tradovate Apex 100K STATIC - APEX-484839-01 - BLOWN,253800.0,253552.5,25380.0,25355.25,,,,,"",2026-02-09,12:58:32 EST,0.0,"","",1941.0,"","","",25380.0,2,25355.25,-247.5,"",0.0,0.0,MNQ,future,"bleed, kept moving stoploss",-247.5,-0.00097518,"",2026-02-09,12:26:11 EST,,,-24.75,-305.0,212.5,25349.5,25401.25,"",,,false,"",long,Loss,"","",MNQ,-495.0,-99.0,0.0,0.0,,5.0,"","",-81.14754098
Tradovate APEX 100K FULL - APEX-484839-06,150142.5,150034.5,25023.75,25005.75,,514.5,25109.5,2026-03-10 18:30:00 UTC,"bullish on lower tf, bullish on higher tf, uptrend",2026-03-10,16:59:01 EDT,0.0,emas bullish,no,9714.0,"ambivalent, anxious, fearful, frustrated, i was stable before entering but not while in the trade, stressed","momentum, waited for pivot retracement, stayed conservative on entry and market aggressively filled it",other (specify below),25023.75,2,25005.75,-108.0,not as expected,0.0,0.0,MNQ,future,"continued to retrace after entry, ignored recent bias in order to stick to my plan, not an a+ setup",-108.0,-0.00071932,"i thought about getting out in profit so many times but played the idea out, almost closed out in profit a few times but stayed to play the idea out, wanted to move the sl so bad (1 tick away and never hit though!), conservative entry and market still agressively came to fill it",2026-03-10,14:17:07 EDT,,,-18.0,-498.0,514.5,24940.75,25109.5,"thought of exiting early but stayed in, aiming to trail beyond local high",,,true,"fcr continuation, pivot buy",long,Loss,respected,"",MNQ,-216.0,-72.0,0.0,0.0,1.5,3.0,no,"accepted it, comitted to plan, did not touch the trade idea, realized the trade was moving the opposite direction, journaled and documented data",-21.68674699
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,507260.0,507280.0,25363.0,25364.0,3.42,585.0,25392.25,2026-02-09 20:50:00 UTC,"",2026-02-09,16:27:36 EST,0.0,"","",2797.0,"","","",25363.0,2,25364.0,20.0,"",0.0,0.0,NQ,future,"",20.0,0.00003943,"",2026-02-09,15:40:59 EST,,,1.0,-615.0,585.0,25332.25,25392.25,"",,,false,"",long,Win,"","",NQ,4.0,4.0,0.0,0.0,0.5,1.0,"","",3.41880342
Tradovate APEX 100K FULL_reset-3 - APEX-484839-05 - BLOWN,343412.5,344175.0,6868.25,6883.5,,,,,bearish on higher tf,2026-03-02,16:58:55 EST,0.0,"",yes,19311.0,"ambivalent, anxious, frustrated, greedy, stressed, fearful","fear of missing out, momentum",catching the move of the day,6868.25,2,6883.5,-762.5,"not as expected, decent, rapidly opposed my idea",0.0,0.0,ES,future,"not an a+ setup, overtrade, rushing, moved tp & sl, kept moving stoploss, fomo, fear of loss, continued to retrace after entry, chasing price, bleed",-762.5,-0.00221544,"hoped to break even and some, told myself 16:58 we close the position grateful but getting caught in a losing position is exhausting, had i cut my losses may i could have executed a different idea had i not been so narrow foucsed in saving the losing trade of the day",2026-03-02,11:37:04 EST,,,-15.25,-2150.0,0.0,6911.25,6872.75,aiming for the moon! :-) lol,,,true,"oops, pivot sell, continuation",short,Loss,"not respected, original stop would have hit","Break & Retest, ZTH | Pivot",ES,-61.0,-61.0,0.0,0.0,1.5,1.0,no,"accepted it, calculated my liquidation threshold for awarness",-35.46511628
Tradovate TPT 50K_reset-2 - TAKEPROFIT363712064 - BLOWN,88212.0,88118.0,4410.6,4405.9,48.45,194.0,4400.9,2026-03-26 20:50:00 UTC,"bearish on higher tf, downtrend",2026-03-26,16:59:32 EDT,0.0,emas bearish,yes,2861.0,"ambivalent, anxious, confident, fearful, frustrated, happy, neutral, stressed, i was stable before entering but not while in the trade",stayed conservative on entry and market aggressively filled it,other (specify below),4410.6,2,4405.9,94.0,"decent, kind of as expected, wow sfp manipulation candle",0.0,0.0,MGC,future,"continued to retrace after entry, fear of loss, ignored recent bias in order to stick to my plan, moved tp & sl, kept moving stoploss, did not account for that much volatility on opposing instruments",94.0,0.00106675,"was not expecting that but felt convicted to stay and manage it until market close i secured profits to offset some of the mcl trade, glad i decided to trade micros today after my experience this week",2026-03-26,16:11:51 EDT,,,4.7,-774.0,194.0,4449.3,4400.9,"thought of exiting early but stayed in, the grace of god, not respected, aiming to trail beyond local low",,,true,"rejection off resistance, pivot sell, continuation",short,Win,"essentailly cancelled, not respected, original stop would have hit","",MGC,94.0,47.0,0.0,0.0,0.5,2.0,no,"accepted it, calculated my liquidation threshold for awarness, comitted to plan, exited in profit, journaled and documented data, realized we were caught in strong level of buying and selling, realized the trade was moving the opposite direction, took into consideration many different confluences",48.45360825
Tradovate Apex 100K STATIC - APEX-484839-01 - BLOWN,253842.5,253472.5,25384.25,25347.25,,,,,"",2026-02-09,15:35:00 EST,0.0,"",yes,4860.0,"greedy, ambivalent, angry, fearful","","",25384.25,2,25347.25,-370.0,"not as expected, blew account",0.0,0.0,MNQ,future,moved tp & sl,-370.0,-0.0014576,"",2026-02-09,14:14:00 EST,,,-37.0,,,,,not respected,,,false,break & retest,long,Loss,not respected,Break & Retest,MNQ,-740.0,-148.0,0.0,0.0,,5.0,no,"",
Tradovate APEX 100K FULL_reset-3 - APEX-484839-05 - BLOWN,243395.0,243580.0,48679.0,48716.0,8.37,2210.0,49121.0,2026-03-02 19:00:00 UTC,"bearish on higher tf, uptrend",2026-03-02,09:54:26 EST,0.0,"",yes,134.0,"anxious, stressed, greedy, fearful, excited","fear of missing out, fvg, live trading with zth",fcr,48679.0,2,48716.0,185.0,"not as expected, decent",0.0,0.0,YM,future,"scared myself out of some additional profit, fear of loss, not in plan, rushing, revenge trading",185.0,0.00076008,not in my plan but worked out and with eval up in a few days i had to take some trades but as you'll see maybe 1 too many today lol,2026-03-02,09:52:12 EST,,,37.0,-85.0,210.0,48662.0,48721.0,"bailed on trade idea, not respected",,,true,break & retest,long,Win,bailed on trade idea,"Break & Retest, STB | FCR",YM,37.0,37.0,0.0,0.0,1.5,1.0,no,exited in profit,88.0952381
Tradovate APEX 100K FULL_reset-3 - APEX-484839-05 - BLOWN,343825.0,342787.5,6876.5,6855.75,553.33,187.5,6872.75,2026-03-02 20:00:00 UTC,"downtrend, bearish on higher tf",2026-03-02,11:27:39 EST,0.0,"",no,527.0,"calm, confident, excited, happy",waited for pivot retracement,"cisd, change of delivery",6876.5,2,6855.75,1037.5,"as expected, straight to take profit!",0.0,0.0,ES,future,"",1037.5,0.00302666,"woah, if they all were like that lol",2026-03-02,11:18:52 EST,,,20.75,50.0,1100.0,6875.5,6854.5,respected,,,true,"pivot sell, rejection off resistance",short,Win,respected,ZTH | Pivot,ES,83.0,83.0,0.0,0.0,4.0,1.0,yes,"comitted to plan, did not touch the trade idea, simply watched it run to tp!",94.04761905
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,345850.0,342850.0,6917.0,6857.0,,,,,"",2026-02-12,18:00:00 EST,0.0,"",yes,25200.0,"angry, ambivalent, anxious, fearful, frustrated, greedy, stressed","fvg, fear of missing out","",6917.0,2,6857.0,-3000.0,"not as expected, blew account",0.0,0.0,ES,future,"not an a+ setup, moved tp & sl, chasing price",-3000.0,-0.00867428,"",2026-02-12,11:00:00 EST,,,-60.0,,,,,"",,,false,"",long,Loss,not respected,"",ES,-240.0,-240.0,0.0,0.0,,1.0,no,"",
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,342150.0,341075.0,6843.0,6821.5,,,,,"",2026-02-13,09:55:00 EST,0.0,"",yes,900.0,anxious,"",fcr,6843.0,2,6821.5,1075.0,"rapidly opposed my idea, as expected",0.0,0.0,ES,future,"",1075.0,0.0031518,"",2026-02-13,09:40:00 EST,,,21.5,,,,,respected,,,true,break & retest,short,Win,respected,"",ES,86.0,86.0,0.0,0.0,1.5,1.0,no,exited in profit,
Tradovate TPT 50K_reset-1 - TAKEPROFIT401190651 - BLOWN,495145.0,492935.0,24757.25,24646.75,,,,,"",2026-02-17,09:51:00 EST,0.0,"",yes,540.0,fearful,fear of missing out,other (specify below),24757.25,2,24646.75,-2210.0,rapidly opposed my idea,0.0,0.0,NQ,future,"",-2210.0,-0.00446334,"",2026-02-17,09:42:00 EST,,,-110.5,,,,,"",,,true,"",long,Loss,"",Break & Retest,NQ,-442.0,-442.0,0.0,0.0,,1.0,no,"",
Tradovate APEX 100K FULL_reset-1 - APEX-484839-03 - BLOWN,493720.0,496800.0,24686.0,24840.0,,,,,"",2026-02-13,09:45:00 EST,0.0,"",yes,300.0,"ambivalent, angry, anxious, fearful, frustrated, greedy, stressed","","",24686.0,2,24840.0,-3080.0,"blew account, not as expected",0.0,0.0,NQ,future,"not off a level, overtrade, revenge trading, rushing, not in plan, bleed, chasing price, fear of loss, fomo, kept moving stoploss, ignored bias, not an a+ setup",-3080.0,-0.00619968,"",2026-02-13,09:40:00 EST,,,-154.0,,,,,"",,,false,"",short,Loss,not respected,"",NQ,-616.0,-616.0,0.0,0.0,,1.0,no,"",
Tradovate APEX 100K FULL_reset-2 - APEX-484839-04 - BLOWN,493720.0,496800.0,24686.0,24840.0,,,,,"",2026-02-13,10:30:00 EST,0.0,"",yes,2100.0,"angry, frustrated, greedy, stressed, anxious, ambivalent, fearful","","",24686.0,2,24840.0,-3080.0,"not as expected, blew account",0.0,0.0,NQ,future,"fear of loss, fomo, ignored bias, not in plan, overtrade, not off a level, revenge trading, rushing, not an a+ setup, chasing price, bleed",-3080.0,-0.00619968,"",2026-02-13,09:55:00 EST,,,-154.0,,,,,"",,,false,"",short,Loss,not respected,"",NQ,-616.0,-616.0,0.0,0.0,,1.0,no,"",
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,504065.0,504565.0,25203.25,25228.25,15.9,3145.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,11:40:04 EST,0.0,"","",698.0,"","","",25203.25,2,25228.25,500.0,"",0.0,0.0,NQ,future,"",500.0,0.00099194,"",2026-02-11,11:28:26 EST,,,25.0,-565.0,1065.0,25175.0,25256.5,"",,,true,"",long,Win,"","",NQ,100.0,100.0,0.0,0.0,1.0,1.0,"","",46.94835681
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,502320.0,502800.0,25116.0,25140.0,9.82,4890.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,10:37:50 EST,0.0,"","",24.0,"","","",25116.0,2,25140.0,480.0,"",0.0,0.0,NQ,future,"",480.0,0.00095557,"",2026-02-11,10:37:26 EST,,,24.0,-110.0,490.0,25110.5,25140.5,"",,,true,"",long,Win,"",ZTH | Pivot,NQ,96.0,96.0,0.0,0.0,1.0,1.0,"","",97.95918367
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,505050.0,505255.0,25252.5,25262.75,9.49,2160.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,13:27:39 EST,0.0,"","",1540.0,"","","",25252.5,2,25262.75,205.0,"",0.0,0.0,NQ,future,chasing price,205.0,0.0004059,"",2026-02-11,13:01:59 EST,,,10.25,-1035.0,495.0,25200.75,25277.25,"",,,true,"",long,Win,"","",NQ,41.0,41.0,0.0,0.0,,1.0,"","",41.41414141
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,508755.0,508165.0,25437.75,25408.25,0.12,508755.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,10:34:43 EST,0.0,"","",197.0,"","","",25437.75,2,25408.25,590.0,"",0.0,0.0,NQ,future,moved tp & sl,590.0,0.00116104,"",2026-02-10,10:31:26 EST,,,29.5,-20.0,690.0,25438.75,25403.25,"",,,true,"",short,Win,"","",NQ,118.0,118.0,0.0,0.0,1.5,1.0,"","",85.50724638
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,507525.0,507270.0,25376.25,25363.5,0.05,507525.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,11:15:36 EST,0.0,"","",287.0,"","","",25376.25,2,25363.5,255.0,"",0.0,0.0,NQ,future,moved tp & sl,255.0,0.00050269,"",2026-02-10,11:10:49 EST,,,12.75,-260.0,545.0,25389.25,25349.0,"",,,true,"",short,Win,"","",NQ,51.0,51.0,0.0,0.0,1.5,1.0,"","",46.78899083
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193440.0,193680.0,64.48,64.56,88.89,270.0,64.57,2026-02-12 12:00:00 UTC,"",2026-02-12,06:57:35 EST,0.0,"","",104.0,"","","",64.48,2,64.56,240.0,"",0.0,0.0,CL,future,"",240.0,0.00124069,"",2026-02-12,06:55:51 EST,,,0.08,90.0,270.0,64.51,64.57,"",,,true,"",long,Win,"","",CL,24.0,8.0,0.0,0.0,1.5,3.0,"","",83.33333333
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193530.0,193560.0,64.51,64.52,,,,,"",2026-02-12,07:27:01 EST,0.0,"","",470.0,"","","",64.51,2,64.52,30.0,"",0.0,0.0,CL,future,"",30.0,0.00015501,"",2026-02-12,07:19:11 EST,,,0.01,-270.0,60.0,64.42,64.53,"",,,true,"",long,Win,"","",CL,3.0,1.0,0.0,0.0,0.5,3.0,"","",50.0
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,193350.0,192270.0,64.45,64.09,73.47,1470.0,63.96,2026-02-12 13:00:00 UTC,"",2026-02-12,08:42:08 EST,0.0,"","",3123.0,"","","",64.45,2,64.09,1080.0,"",0.0,0.0,CL,future,"",1080.0,0.0056171,"",2026-02-12,07:50:05 EST,,,0.36,-480.0,1320.0,64.61,64.01,"",,,true,"",short,Win,"",ZTH | Pivot,CL,108.0,36.0,0.0,0.0,2.5,3.0,"","",81.81818182
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193050.0,193410.0,64.35,64.47,,,,,"",2026-02-10,09:12:25 EST,0.0,"","",375.0,"","","",64.35,2,64.47,360.0,"",0.0,0.0,CL,future,moved tp & sl,360.0,0.0018648,"",2026-02-10,09:06:10 EST,,,0.12,60.0,450.0,64.37,64.5,"",,,true,"",long,Win,"",ZTH | Pivot,CL,36.0,12.0,0.0,0.0,1.5,3.0,"","",76.92307692
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193500.0,193230.0,64.5,64.41,,450.0,64.65,2026-02-10 14:00:00 UTC,"",2026-02-10,09:00:01 EST,0.0,"","",118.0,"","","",64.5,2,64.41,-270.0,"",0.0,0.0,CL,future,kept moving stoploss,-270.0,-0.00139535,"",2026-02-10,08:58:03 EST,,,-0.09,-270.0,30.0,64.41,64.51,"",,,true,"",long,Loss,"",ZTH | Pivot,CL,-27.0,-9.0,0.0,0.0,0.5,3.0,"","",-100.0
