account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
APEX-484839-06,RTY,RTYM6,Short,1.0,2877.7,2026-05-14T12:04:14,2863.1,2026-05-14T13:20:30,730.0,Orders-3.csv
TAKEPROFIT861085464,RTY,RTYM6,Short,1.0,2810.8,2026-05-20T11:15:36,2818.6,2026-05-20T16:55:01,-390.0,Orders-4.csv
TAKEPROFIT861085464,YM,YMM6,Short,1.0,50001.0,2026-05-20T11:16:16,50046.0,2026-05-20T16:55:01,-225.0,Orders-4.csv
TAKEPROFIT861085464,RTY,RTYM6,Long,1.0,2813.4,2026-05-21T06:25:41,2843.5,2026-05-21T13:17:00,1505.0,Orders-5.csv
TAKEPROFIT861085464,RTY,RTYM6,Long,1.0,2908.5,2026-05-25T22:19:04,2925.8,2026-05-26T16:55:02,865.0,Orders-7.csv
TAKEPROFIT861085464,ES,ESM6,Short,1.0,7563.0,2026-05-27T06:04:38,7535.0,2026-05-27T09:41:50,1400.0,Orders-8.csv
PA-APEX-484839-01,ES,ESM6,Long,1.0,7519.25,2026-05-27T13:08:11,7542.0,2026-05-27T14:30:16,1137.5,Orders-9.csv
PA-APEX-484839-01,ES,ESM6,Short,1.0,7561.5,2026-05-28T10:12:59,7588.5,2026-05-28T16:59:00,-1350.0,Orders-1.csv
TAKEPROFIT861085464,M2K,M2KM6,Long,1.0,2929.7,2026-05-29T09:30:04,2920.4,2026-05-29T16:55:03,-46.5,Orders-2.csv
PA-APEX-484839-01,M2K,M2KM6,Short,3.0,2931.7,2026-06-02T09:37:28,2935.9,2026-06-02T16:59:01,-63.0,Orders-10.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,2.0,51368.0,2026-06-02T19:04:40,50799.0,2026-06-03T15:59:45,569.0,Orders-12.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,2.0,51063.0,2026-06-04T06:00:40,51667.0,2026-06-04T16:55:04,-604.0,Orders-14.csv
PA-APEX-484839-01,MYM,MYMM6,Short,2.0,51063.0,2026-06-04T06:00:40,51670.0,2026-06-04T16:59:01,-607.0,Orders-15.csv
PA-APEX-484839-01,MYM,MYMM6,Short,2.0,51753.0,2026-06-05T05:13:15,50796.0,2026-06-05T16:59:01,957.0,Orders-16.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,1.0,50773.0,2026-06-09T13:41:06,50857.0,2026-06-09T16:55:02,-42.0,Orders-22.csv
